Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C0OSX2,1,19,3.0,-0.19791075025865942,0.9
C0OUW1,1,7,3.0,-0.20412414523193165,0.76
C0OWJ3,1,1,1.0,,0.0
C0OY3S,1,19,3.0,0.6989262981388239,0.97
C0OZM1,1,1,2.0,0.0,0.0
C0OZQ2,1,7,1.0,-2.8577380332470406,0.0
C0P2EA,1,7,3.0,0.5675318095554227,0.92
C0P4CT,1,11,2.0,,0.0
C0P5AK,2,4,3.0,-1.5194157161896904,0.12
C0P6IG,1,11,2.0,-0.5199045022208314,0.46
C0P7CV,1,19,4.0,2.8401877872187726,1.0
C0P7FQ,1,19,3.0,,0.0
C0P8KM,1,7,3.0,,0.0
C0P8LZ,1,19,2.0,,0.0
C0P8RJ,1,7,3.0,,0.0
C0P8VW,3,19,3.3333333333333335,1.6526292166008123,1.0
C0PAE1,1,1,3.0,0.0,1.0
C0PL4B,4,7,3.0,0.5821905701874812,1.0
C0PM5I,1,7,1.0,,0.0
C0PNH9,1,11,3.0,0.4937419311010187,0.92
C0PO6W,1,7,0.0,-5.447341615277187,0.0
C0PT9W,1,19,3.0,,0.0
C0PWX2,1,19,3.0,,0.0
C0PZ2W,1,7,2.0,,0.0
C0Q1MD,1,19,3.0,,0.0
C0Q2NJ,1,7,2.0,,0.0
C0Q2OB,1,19,4.0,3.446561747421316,1.0
C0Q4IM,2,7,2.0,-0.3993541055216846,0.6
C0Q5BI,1,11,2.0,,0.0
C0Q5SL,1,11,2.0,-0.5199045022208314,0.46
C0Q6HK,1,1,1.0,,0.0
C0Q8BN,2,4,3.0,-1.4577379737113256,0.32
C0Q9NP,1,7,1.0,,0.0
C0QB1V,1,1,2.0,0.0,0.0
C0QCK1,3,7,1.0,-3.365945337491575,0.0
C0QD8O,1,19,3.0,0.15294382258037464,0.9
C0QET9,1,4,2.0,-1.5068211499136352,0.26
C0QF5M,1,7,3.0,0.3908940464153314,0.92
C0QFL3,2,1,2.0,0.0,0.0
C0QGP5,2,11,3.0,0.7138448179310528,0.93
C0QGU2,1,19,3.0,-0.19791075025865942,0.9
C0QH3O,1,7,2.0,,0.0
C0QH6L,1,7,2.0,,0.0
C0QI2D,1,19,3.0,,0.0
C0QJ9O,1,7,3.0,0.11584895577118084,0.85
C0QK6P,1,7,2.0,,0.0
C0QND4,1,7,3.0,0.47771245719481964,0.78
C0QOF3,1,19,3.0,,0.0
C0QTL8,1,4,3.0,-0.5310850045437948,0.78
C0QZ4U,1,19,4.0,2.9707231276484296,1.0
C0R1KU,1,7,1.0,-3.3008717816215367,0.0
