"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1684","2.76074615","0.0036897","0.36222092","0.21666667","40","5","false","2","CYP7A1","30.975","40","0",,,"0","0.74846484","false","0","CYP7A1","121562","0.08735876"
"1685","3.20762368","8.525E-5","0.31175727","0.73333333","16","5","false","2","CYP4F2","43.625","16","0",,,"0","0.68462519","false","0","CYP4F2","2990","0.28513072"
"1686","3.28142741","9.09E-6","0.30474543","0.82352941","17","5","false","2","CYP3A7","44.29411765","17","0",,,"0","0.6740818","false","0","CYP3A7","504","0.34604779"
"1687","3.05352798","0.00148829","0.32749004","0.40289855","46","5","false","2","CYP3A5","28.13043478","46","0",,,"0","0.70663886","false","0","CYP3A5","49272","0.13513796"
"1688","2.7729116","0.0070715","0.36063176","0.28609201","62","5","false","2","CYP3A4","27.98387097","62","0",,,"0","0.74672691","false","0","CYP3A4","207934","0.08225806"
"1689","3.27007299","0.00205317","0.30580357","0.44588745","22","5","false","2","CYP2J2","27.77272727","22","0",,,"0","0.67570386","false","0","CYP2J2","56120","0.21458774"
"728","2.71451744","1.1266E-4","0.3683896","0.43478261","23","5","false","5","DKC1","114.26086957","23","0",,,"0","0.75506894","false","0","DKC1","9524","0.21429154"
"1690","2.63422547","0.00883604","0.37961823","0.31313131","55","5","false","2","CYP2E1","33.21818182","55","0",,,"0","0.76653922","false","0","CYP2E1","234278","0.07067698"
"363","3.88321168","0.0","0.2575188","0.0","1","6","false","1","HRSP12","21.0","1","0",,,"0","0.58811262","false","0","HRSP12","0","0.0"
"504","2.8702352","9.71E-6","0.3484035","0.57575758","12","5","false","5","RSL1D1","120.91666667","12","0",,,"0","0.73282354","false","0","RSL1D1","1502","0.27606545"
"1691","2.95296026","0.00200693","0.33864323","0.34534535","37","5","false","2","CYP2D6","31.59459459","37","0",,,"0","0.72100568","false","0","CYP2D6","50730","0.11224392"
"1095","2.4703974","0.0069064","0.40479317","0.21421022","131","5","false","5","HNRNPDL","49.16030534","131","0",,,"0","0.78994323","false","0","HNRNPDL","261358","0.07902359"
"1692","2.918897","0.00249795","0.34259517","0.32503771","52","5","false","2","CYP2C9","28.51923077","52","0",,,"0","0.72587186","false","0","CYP2C9","76902","0.10215054"
"729","3.07380373","4.2624E-4","0.32532982","0.35714286","8","6","false","1","ITIH3","37.625","8","0",,,"0","0.70374232","false","0","ITIH3","8362","0.1733871"
"1693","3.16463909","5.1806E-4","0.3159918","0.41700405","39","5","false","2","CYP2C8","27.64102564","39","0",,,"0","0.69076584","false","0","CYP2C8","17614","0.1783292"
"1694","2.87104623","0.00258288","0.34830508","0.34204082","50","5","false","2","CYP2B6","29.32","50","0",,,"0","0.73270768","false","0","CYP2B6","88396","0.09898649"
"505","3.01216545","4.09E-6","0.33198708","0.71428571","8","5","false","5","RBM15","135.375","8","0",,,"0","0.71254779","false","0","RBM15","356","0.375"
"1096","2.44931062","0.00941991","0.40827815","0.27765568","105","5","false","5","EWSR1","61.12380952","105","0",,,"0","0.79295563","false","0","EWSR1","275574","0.09574563"
"1695","2.99026764","0.00100112","0.33441823","0.4291498","39","5","false","2","CYP2A6","30.64102564","39","0",,,"0","0.71567605","false","0","CYP2A6","41094","0.13380361"
"1696","2.93025142","0.00208747","0.34126764","0.3884058","46","5","false","2","CYP1A2","32.73913043","46","0",,,"0","0.7242498","false","0","CYP1A2","66096","0.11023276"
"1697","2.89132198","0.00222398","0.34586255","0.36190476","36","5","false","2","COMT","31.25","36","0",,,"0","0.72981115","false","0","COMT","69266","0.11997863"
"1097","2.85482563","9.807E-4","0.35028409","0.05272895","47","5","false","5","CPSF7","30.12765957","47","0",,,"0","0.73502491","false","0","CPSF7","30238","0.08785175"
"1699","3.23844282","2.643E-5","0.30879038","0.5","4","5","false","2","ATP2B4","43.75","4","0",,,"0","0.68022245","false","0","ATP2B4","942","0.35860656"
"1098","2.54744526","6.8631E-4","0.39255014","0.54504505","37","5","false","5","ALYREF","124.91891892","37","0",,,"0","0.77893639","false","0","ALYREF","49996","0.19734426"
"506","2.82725061","2.4737E-4","0.35370052","0.5","12","5","false","5","POLR1C","113.83333333","12","0",,,"0","0.7389642","false","0","POLR1C","23678","0.24746377"
"1700","3.33414436","8.5E-7","0.29992703","0.0","2","5","false","2","ATP2B2","42.0","2","0",,,"0","0.66655081","false","0","ATP2B2","42","0.55405405"
"1099","2.75020276","0.00103546","0.36360955","0.21212121","12","5","false","7","SYK","64.75","12","0",,,"0","0.74997103","false","0","SYK","32910","0.13966883"
"507","2.91484185","2.316E-5","0.34307179","0.69590643","19","5","false","5","PHF5A","139.26315789","19","0",,,"0","0.72645116","false","0","PHF5A","3296","0.31868"
"1701","3.53203569","2.518E-5","0.28312285","0.0","2","5","false","19","ATP2B1","25.5","2","0",,,"0","0.63828062","false","0","ATP2B1","604","0.51041667"
"1100","3.18491484","7.405E-5","0.31398014","0.63888889","9","5","false","2","PTGS1","45.88888889","9","0",,,"0","0.68786931","false","0","PTGS1","2604","0.24804805"
"1702","2.52635848","0.01728155","0.39582665","0.12937853","60","4","false","7","APOE","29.18333333","60","0",,,"0","0.78194879","false","0","APOE","377832","0.0509324"
"364","3.52554745","0.0","0.28364389","1.0","2","6","false","1","VIL1","36.0","2","0",,,"0","0.63920751","false","0","VIL1","0","0.54545455"
