DrugID,label,module
CO2KM0,D,2
C8NLJ2,D,2
C46BVP,D,2
C8U4PY,D,2
CJ9FH0,D,2
CLM59E,D,2
CGQC47,D,2
C7JF4U,D,2
C64JVD,D,2
C9H8FD,D,2
C1K5NB,D,2
CR67FB,D,2
CJZD76,D,2
CC14DU,D,2
CP9C0M,D,2
CU6EP1,D,2
C1ZYG3,D,2
CH3S9K,D,2
CP4QT9,D,2
C13VFZ,D,2
CIY5B0,D,2
CB1FI9,D,2
DB15399,D,2
C71GOI,D,2
CE4CK5,D,2
CP5B4K,D,2
C68MYP,D,2
C3MOA5,D,2
C4IW9M,D,2
CC86NH,D,2
CP7O2V,D,2
C9CGU8,D,2
C2QX3P,D,2
CKT03M,D,2
CG71EX,D,2
CYT3H9,D,2
C57VIN,D,2
C96NWY,D,2
C9TY3Q,D,2
CTV78S,D,2
CX73PS,D,2
CT30MS,D,2
C1JP2L,D,2
CM38PJ,D,2
C31MGA,D,2
C0E5HA,D,2
COB3Z9,D,2
CN5OF6,D,2
CIQ65B,D,2
C7ZRK9,D,2
C70RHF,D,2
C1CTI8,D,2
CM1B6D,D,2
CB6G3Z,D,2
D09TGX,D,2
C8TQ4G,D,2
C86ZAF,D,2
C1HFX4,D,2
C26IMW,D,2
CZT54M,D,2
CW4L9C,D,2
CDZ79W,D,2
CN38OK,D,2
CUX0F4,D,2
CN35MZ,D,2
CX1EK7,D,2
C09TNA,D,2
D03ISE,D,2
D01ZII,D,2
CXLW54,D,2
C8U6PV,D,2
C4IS7E,D,2
CU1OM0,D,2
C5IL1C,D,2
C6UJA5,D,2
D0OB1J,D,2
CX2SE3,D,2
C4VO1R,D,2
CY6B1N,D,2
CMIN20,D,2
CCK02O,D,2
DB04905,D,2
DB14063,D,2
DB14071,D,2
C6LNS7,D,2
C7RXU9,D,2
CJU4W9,D,2
DB05449,D,2
CV3DQ1,D,2
D07RSH,D,2
DB00603,D,2
DB00778,D,2
C2ZDU4,D,2
C4SNI0,D,2
CO08ZV,D,2
CUF52K,D,2
CFQ2P3,D,2
CV9QS7,D,2
CI7QT2,D,2
CL38VQ,D,2
C1I2UD,D,2
CZ46CP,D,2
CWM67C,D,2
CA02CO,D,2
CX1W9Z,D,2
C0DI9A,D,2
CYAM67,D,2
CP8F7B,D,2
CS50EI,D,2
CI2S6D,D,2
C4ZOX6,D,2
C2DRO4,D,2
CMT3X7,D,2
CDJ2L0,D,2
CV9TF6,D,2
CP02GZ,D,2
CU7F4X,D,2
C3EX7W,D,2
CS9P6K,D,2
CPG5S3,D,2
CKV6P1,D,2
CW7R6O,D,2
CQ9MW6,D,2
C7XW2Y,D,2
CFZ35T,D,2
C1L0WJ,D,2
CA1WO9,D,2
CDPU29,D,2
C4KRM1,D,2
CTZY18,D,2
CY6D1Q,D,2
C48CAR,D,2
C9VQY2,D,2
C68IQN,D,2
C8IFT7,D,2
C5DM6Y,D,2
D0JL2T,D,2
C5PV0G,D,2
CXMO94,D,2
CXMK07,D,2
C1G2CB,D,2
D0KL1P,D,2
CG6NC7,D,2
C0QND4,D,2
CE41MQ,D,2
C7Y0QL,D,2
CYAO67,D,2
CB4Z3C,D,2
C4N1DX,D,2
CVB6S4,D,2
CFN7P0,D,2
CS0A4K,D,2
CV4OI5,D,2
CF3Q9N,D,2
C6X8DN,D,2
C2FL8U,D,2
CQWK31,D,2
CUN74Z,D,2
CA3P0O,D,2
C4WQR9,D,2
CX76MQ,D,2
C7LDX6,D,2
CZU82N,D,2
CZM4L3,D,2
C2KZF0,D,2
C1A0FV,D,2
C7H2NQ,D,2
C5P8SJ,D,2
C1T6BE,D,2
CSNT57,D,2
CUC9I4,D,2
CLQO05,D,2
CR7M8S,D,2
C6X4HN,D,2
C80ESB,D,2
C58FQL,D,2
C21YZQ,D,2
CJY60W,D,2
CAZ13T,D,2
CX3KD0,D,2
C8LM7I,D,2
C59FWO,D,2
CW17YB,D,2
CX52RZ,D,2
C4Z2DS,D,2
CF4NG0,D,2
CU9P0W,D,2
C8Q9DG,D,2
CGB2P5,D,2
CAQ08E,D,2
C1V9YM,D,2
C6IO1A,D,2
CK4E6I,D,2
CGXJ91,D,2
CWVT19,D,2
C1P8IG,D,2
CQN8K7,D,2
C3OL7Y,D,2
CBTL02,D,2
CS1P5K,D,2
C6BY4C,D,2
CM23KQ,D,2
C2ER6P,D,2
CE4O3V,D,2
C6RQW1,D,2
C2G5UB,D,2
CGQ07Z,D,2
COI6B5,D,2
C4P5RL,D,2
CSI51G,D,2
CY7DJ0,D,2
CW85LQ,D,2
D03PLP,D,2
CU15AT,D,2
C8P0AO,D,2
C13RTP,D,2
D01XNB,D,2
CAN0W4,D,2
CUQ9Y1,D,2
C4CNG5,D,2
CY7Z8L,D,2
CE1QO3,D,2
C2J7TM,D,2
C2ZC5Q,D,2
CMU32H,D,2
CO1LU7,D,2
C0DAZ6,D,2
C3HM2S,D,2
C34QPL,D,2
C8HJM3,D,2
C46KOL,D,2
DB01229,D,2
C5O6BP,D,2
CPI3E4,D,2
C5TKQ4,D,2
CMA90D,D,2
C0WU3K,D,2
C3VMI8,D,2
CP5BS7,D,2
C3O4NA,D,2
CY31BG,D,2
C63SPC,D,2
C3S5OK,D,2
CZO0D7,D,2
C65LWZ,D,2
C8C1JP,D,2
CO1PI5,D,2
C9X7WO,D,2
D0ZU9R,D,2
C6IX1Y,D,2
CO9M8H,D,2
CCJS78,D,2
CCJ3M5,D,2
CQ0TZ3,D,2
C20DFI,D,2
CU2HC7,D,2
C4WF0Y,D,2
C6AIG3,D,2
C9VWU0,D,2
CP26MV,D,2
CV9M7Q,D,2
CPD4H1,D,2
CG9RX4,D,2
CN1V8K,D,2
C38FXL,D,2
CH0D4R,D,2
CY4XL9,D,2
C64UBA,D,2
CF0X4M,D,2
C43CIH,D,2
CY46QV,D,2
C0HYX7,D,2
C90ZNB,D,2
CK2NS6,D,2
C72IFK,D,2
CT43OU,D,2
C06ZYL,D,2
CE4C1X,D,2
C9GP2A,D,2
C03FQV,D,2
CSHK75,D,2
C7UC3N,D,2
CT4IY0,D,2
C6SGF3,D,2
C4D7RX,D,2
C5GM4K,D,2
CNS78D,D,2
CRC20Y,D,2
C2GP9J,D,2
CUL2G4,D,2
C68KLJ,D,2
C59HRL,D,2
C29SYL,D,2
CWU2Z8,D,2
CM80XH,D,2
CW7X3H,D,2
C3AYI5,D,2
C3M9PE,D,2
CQC9E5,D,2
CZO45P,D,2
CXCS24,D,2
CSEC41,D,2
CEYZ65,D,2
CQ28RJ,D,2
CW4EM8,D,2
CA7K8Z,D,2
CENX80,D,2
C03FHL,D,2
CO2P8K,D,2
C21LPY,D,2
CS0NC2,D,2
C6WUL9,D,2
C75LBD,D,2
CU9AV8,D,2
CH06TZ,D,2
CTF2J0,D,2
CRB93S,D,2
COG12F,D,2
CB1FR2,D,2
C10MDY,D,2
C9YP4V,D,2
DB14066,D,2
CD0SX1,D,2
CAN76P,D,2
CUL9E2,D,2
CBH9T3,D,2
C7ZQ8A,D,2
CUR03H,D,2
CT3G0A,D,2
CS4D6C,D,2
C7WFJ3,D,2
CRSQ32,D,2
CU5BD9,D,2
CL61VT,D,2
CY95IQ,D,2
CW4ZC3,D,2
CV2ZO8,D,2
COLA68,D,2
CGW7P5,D,2
CHV3N6,D,2
CW7J4H,D,2
CT0CU3,D,2
CCE95J,D,2
D0V7CF,D,2
CB6VZ0,D,2
CJO48V,D,2
CNRG87,D,2
CSK8X6,D,2
CJTU32,D,2
CJ9Z4M,D,2
C6REH4,D,2
C91YZG,D,2
CVL3N6,D,2
CH3M6V,D,2
D0WI3T,D,2
CLO07E,D,2
C25AFY,D,2
C16JWF,D,2
C52FVK,D,2
CNV52A,D,2
CE7Q3U,D,2
C6PHS7,D,2
CZ5X3J,D,2
CJD24F,D,2
C27FBP,D,2
C0OUW1,D,2
CH4KA7,D,2
CKN28X,D,2
D0V7UQ,D,2
CWNS51,D,2
CQ1JH7,D,2
CZT7B9,D,2
CH8BJ7,D,2
CXT19C,D,2
CAW2B8,D,2
CS9NF7,D,2
C63NSK,D,2
CFTG31,D,2
C1HU5F,D,2
CGRY19,D,2
CQ8V6G,D,2
C2QB4L,D,2
C63KNP,D,2
C3G1VI,D,2
CH9VG2,D,2
C0WLR3,D,2
CG0NC4,D,2
CP4Q2G,D,2
C6IZG9,D,2
CW60EC,D,2
CJK68D,D,2
CY0D7P,D,2
C5IS8G,D,2
C9QT4A,D,2
D05NOS,D,2
CB1X0H,D,2
CHGX10,D,2
CR17PC,D,2
C8MJP9,D,2
D0H3HM,D,2
D03IGH,D,2
CO3TV1,D,2
CE9Q1N,D,2
CFI13S,D,2
C3T8ZF,D,2
C57TKI,D,2
C9D1AV,D,2
CZY2I0,D,2
CXJK95,D,2
C4Z7MF,D,2
CCQZ80,D,2
C5PIW6,D,2
CH9OU1,D,2
C1ODI3,D,2
C0S7AF,D,2
C6NK0L,D,2
C56HDS,D,2
CYL9G2,D,2
C8CGF9,D,2
D02YIZ,D,2
C94OIG,D,2
CGL02K,D,2
CQ5NB6,D,2
CK5L6J,D,2
CVL5T7,D,2
CD23EA,D,2
CI9VZ6,D,2
CN9AH3,D,2
CGR3X7,D,2
C6Z2XK,D,2
C03KIL,D,2
CFU4W2,D,2
C9M4JG,D,2
C9G3PT,D,2
CIF4T8,D,2
CDCB45,D,2
C5XZ4I,D,2
C6J9YB,D,2
C4ZD2W,D,2
DB00813,D,2
CMT4D2,D,2
DB06191,D,2
C26ZQR,D,2
C3PIE7,D,2
C4ODQ2,D,2
CR7UE0,D,2
C1IEF6,D,2
CTQJ34,D,2
DB04881,D,2
DB16407,D,2
DB14068,D,2
C4PQ5A,D,2
CP93FH,D,2
CQC37W,D,2
CLJ81E,D,2
C4AE8R,D,2
CMW9L8,D,2
DB14067,D,2
DB14072,D,2
DB14062,D,2
DB06420,D,2
DB00171,D,2
DB11635,D,2
CZ7F5A,D,2
C6BW0Q,D,2
C53NLD,D,2
D00YZD,D,2
DB00570,D,2
CA9FI1,D,2
C27XQN,D,2
CI24NP,D,2
C65PTM,D,2
CH05QS,D,2
CM2I4H,D,2
CHP3Y5,D,2
CPY0I1,D,2
C1V2CB,D,2
CU6Q1M,D,2
CMA71O,D,2
CA2Z9O,D,2
CPXS38,D,2
D09DHY,D,2
COQJ76,D,2
C6H5OU,D,2
C2FSL7,D,2
