name	module
FNBP1L	7
ABLIM3	7
ELMO1	7
NES	7
LAMB2	7
LPA	7
PPP1R12A	7
PPP4R1	7
PRUNE	7
PALLD	7
RAB13	7
SDC2	7
LGALS8	7
SLC9A3R2	7
RAB35	7
STEAP3	7
SPARC	7
CD97	7
LIMA1	7
SYNPO	7
SCAMP3	7
STAMBP	7
PDLIM7	7
SH3KBP1	7
STAM	7
STAM2	7
SCRIB	7
THBS1	7
VPS18	7
VAMP7	7
VPS45	7
STRN	7
SERPINA5	7
VCAM1	7
TUBB4A	7
WAS	7
WASL	7
PVRL2	7
PTPN12	7
SYK	7
TMEM106B	7
VPS26A	7
UCHL1	7
YKT6	7
PRG4	7
TJP3	7
TAGLN2	7
TRIM3	7
VSIG4	7
VTN	7
ZYX	7
ANO1	8
PPFIA1	8
KIF1B	8
PTPRF	8
ANO6	9
SLC12A7	9
ATP11C	9
ANTXR2	9
BRI3BP	10
ZNF207	10
SLC35E1	10
CADM1	11
FNDC3B	11
MPDZ	11
LIN7C	11
SNX27	11
MPP6	11
COL18A1	12
COL1A1	12
POSTN	12
SERPINF1	12
COL15A1	12
AEBP1	12
ASPN	12
FBLN1	12
FBLN2	12
COLGALT1	12
IGFBP7	12
OGN	12
NID1	12
LTBP1	12
PCOLCE	12
PRELP	12
PLOD2	12
CRTAP	12
LEPRE1	12
PLOD3	12
P4HA1	12
SERPINH1	12
PLOD1	12
TNXB	12
CTBS	13
KIF21A	13
GOLM1	14
GOLPH3	14
MAN2A1	14
VPS33B	14
VPS51	14
COG1	14
ARFGAP3	14
EXOC3	14
COG3	14
COG7	14
COPG2	14
COG5	14
CLINT1	14
COG2	14
GOLGA3	14
GBF1	14
GOLGA5	14
DNAJC13	14
GRIPAP1	14
AP3D1	14
GCC1	14
GOSR1	14
HEXB	14
COG4	14
EXOC5	14
MANBA	14
ARL8B	14
EXOC7	14
ARL1	14
OS9	14
RAB6C	14
MYO18A	14
RAB4A	14
SERPINA4	14
RAB1A	14
STX5	14
STX16	14
NSF	14
GOSR2	14
EXOC4	14
VPS16	14
VPS33A	14
STX11	14
TBC1D5	14
TM9SF2	14
TSSC1	14
EXOC1	14
EXOC2	14
WBSCR16	14
TSN	14
VPS52	14
MGAT1	14
SEC23B	14
SYNRG	14
KDELR1	14
SLC4A1	14
MGAT2	14
ZNF787	14
IRF2BP2	15
ZC3H7A	15
TIMM9	15
MAP1S	16
CBR4	16
HOOK3	16
NDUFAF2	16
SCRN1	16
TBCB	16
MRPL38	17
MRPS5	17
DARS2	17
MRPL17	17
MRPL19	17
MRPL27	17
MRPL15	17
MRPL24	17
MRPL21	17
MRPL20	17
MRPL37	17
MRPL12	17
MRPL16	17
MRPL22	17
MRPL11	17
MRPS18B	17
MRPS33	17
MRPS35	17
MRPL47	17
MRPS18A	17
MRPS31	17
MRPS11	17
MRPS30	17
MRPS24	17
MRPS23	17
MRPL44	17
MRPL57	17
MRPL49	17
MRPL53	17
MRPL9	17
C10orf76	17
MRPS27	17
MRPS21	17
MRPL41	17
MRPL45	17
MRPL48	17
MRPS34	17
MRPS16	17
MRPS22	17
MRPS25	17
OXA1L	17
MRPS9	17
WBP2	17
RPMS17	17
PTCD3	17
TBC1D13	17
SLC4A1AP	17
MYO1D	18
KIF1C	18
PDXDC1	18
NDRG2	19
NPTN	19
CAP2	19
ATP2B1	19
RAB22A	20
GAPVD1	20
APPL2	20
VPS11	20
VPS13C	20
RABGAP1	20
RAB3GAP1	20
RABGAP1L	20
SERPINA11	21
INTS1	21
SERPIND1	21
WNK1	22
ITSN2	22
CAB39	22
WNK3	22
METTL7B	23
RARRES2	23
