name1	name2	module
CDK9	RPRD2	4
CDK9	TCOF1	4
CDK9	RNF20	4
CDK9	SUPT5H	4
CDK9	SKP1	4
CDK9	POLR2H	4
CDK9	POLR2A	4
CDK9	WDR61	4
CDK9	PPP1R8	4
CDK9	POLR2B	4
CDK9	WDR82	4
CDK9	CKAP5	4
CDK9	CTDP1	4
CELF1	RALY	5
CELF1	FXR1	5
CELF1	SRSF11	5
CELF1	SRSF6	5
CELF1	SRSF7	5
CELF1	HNRNPA0	5
CELF1	FUS	5
CELF1	FUBP3	5
CELF1	HNRNPAB	5
CELF1	KHSRP	5
CELF1	HNRNPH1	5
CELF1	HNRNPH2	5
CELF1	RBMX	5
CELF1	HNRNPM	5
CELF1	U2AF2	5
CELF1	SRSF9	5
CELF1	STAU1	5
CELF1	G3BP1	5
CELF1	HNRNPR	5
CELF1	HNRNPA3	5
CELF1	FMR1	5
CELF1	DDX6	5
CELF1	PUM1	5
CELF1	SRSF3	5
CELF1	SNRNP70	5
CELF1	PABPN1	5
CELF1	TIAL1	5
CELF1	RBM47	5
CELF1	SRSF10	5
CELF1	SRSF2	5
CELF1	DDX23	5
CELF1	TRA2B	5
CELF1	SNRPE	5
CELF1	HNRNPF	5
CELF1	SF1	5
CELF1	PTBP3	5
CES1	CES2	2
CES1	UGT1A4	2
CES1	UGT2B17	2
CES1	UGT2B15	2
CES1	PON3	2
CES1	UGT2B4	2
CHD1L	MCM4	4
CHD1L	POLR2B	4
CHD1L	SUPT6H	4
CHD1L	SMARCC2	4
CHD1L	WDR61	4
CHD4	SRSF6	5
CHD4	SNRNP70	5
CHD4	TRA2B	5
CHD4	ERH	5
CHD4	PABPC1	5
CHD4	PRPF19	5
CHD4	RBM14	5
CHD4	HNRNPAB	5
CHD4	HNRNPH1	5
CHD4	USP39	5
CHD4	PRPF8	5
CHD4	DDX39A	5
CHD4	SF3B2	5
CHD4	SNRPD2	5
CHD4	CHERP	5
CHD4	NOP2	5
CHD4	DHX30	5
CHD4	SRRT	5
CHD4	DDX21	5
CHD4	LUC7L3	5
CHD4	DDX23	5
CHD4	MYBBP1A	5
CHD4	HNRNPF	5
CHD4	SF3A3	5
CHD4	SNRNP200	5
CHD4	THRAP3	5
CHD4	XRN2	5
CHD4	SNW1	5
CHD4	HNRNPR	5
CHD4	DDX46	5
CHD4	PRPF4	5
CHD4	PUF60	5
CHD4	RBMX	5
CHD4	SNRPA1	5
CHD4	RBM39	5
CHD4	CTNNBL1	5
CHD4	SART1	5
CHD4	SF3A1	5
CHD4	DDX39B	5
CHD4	EIF4A3	5
CHD4	SF3B3	5
CHD4	HNRNPA0	5
CHD4	RBM10	5
CHD4	U2AF2	5
CHD4	EFTUD2	5
CHD4	SF3B1	5
CHD4	PRPF40A	5
CHD4	HNRNPM	5
CHD4	DHX15	5
CHD4	DDX56	5
CHD4	HNRNPUL2	5
CHD4	SRRM1	5
CHD4	SRSF3	5
CIRBP	PRPF19	5
CIRBP	SNRPD3	5
CIRBP	SNRPA	5
CIRBP	PAPOLA	5
CIRBP	SF3B3	5
CIRBP	SF3A2	5
CIRBP	SF3B1	5
CIRBP	U2AF2	5
CIRBP	PABPN1	5
CIRBP	RBM8A	5
CIRBP	PRPF8	5
CIRBP	EFTUD2	5
CIRBP	SRSF3	5
CIRBP	SF1	5
CIRBP	RBMX	5
CIRBP	HNRNPH2	5
CIRBP	PLRG1	5
CIRBP	HNRNPA0	5
COL18A1	LTBP1	12
COL18A1	PCOLCE	12
COL18A1	PLOD1	12
COL18A1	CRTAP	12
COL18A1	PLOD2	12
COL18A1	NID1	12
COL18A1	SERPINH1	12
COL18A1	PLOD3	12
COL18A1	FBLN2	12
COL18A1	LEPRE1	12
COL18A1	P4HA1	12
COL18A1	FBLN1	12
COL18A1	COLGALT1	12
COL1A1	NID1	12
COL1A1	P4HA1	12
COL1A1	FBLN1	12
COL1A1	PCOLCE	12
COL1A1	OGN	12
COL1A1	CRTAP	12
COL1A1	PLOD3	12
COL1A1	LEPRE1	12
COL1A1	COLGALT1	12
COL1A1	PLOD2	12
COL1A1	LTBP1	12
COL1A1	TNXB	12
COL1A1	FBLN2	12
COL1A1	SERPINH1	12
COL1A1	PRELP	12
COL1A1	PLOD1	12
COL1A1	IGFBP7	12
COMT	SULT1A1	2
COMT	SULT1E1	2
COMT	UGT1A4	2
COMT	UGT2B17	2
COMT	PRODH2	2
COMT	UGT2B4	2
COMT	HSD17B2	2
COMT	UGT2B15	2
CPS1	GCSH	1
CPS1	GOLT1B	1
CPS1	OTC	1
CPS1	GLS	1
CPS1	GLDC	1
CPS1	SHMT1	1
CPS1	DAO	1
CPS1	GLYAT	1
CPS1	DMGDH	1
CPS1	GCDH	1
CPS1	GLS2	1
CPSF7	NCBP1	5
CPSF7	U2AF2	5
CPSF7	SF3B2	5
CPSF7	SRSF7	5
CPSF7	RBM8A	5
CPSF7	RNPS1	5
CPSF7	EIF4A3	5
CPSF7	RBM39	5
CPSF7	SNW1	5
CPSF7	SRSF6	5
CPSF7	KHSRP	5
CPSF7	CSTF3	5
CPSF7	SRSF4	5
CPSF7	CSTF2	5
CPSF7	LUC7L3	5
CPSF7	SNRPA	5
CPSF7	CSTF2T	5
CPSF7	SRSF5	5
CPSF7	SF3B5	5
CPSF7	SF3A1	5
CPSF7	SRSF11	5
CPSF7	SRSF3	5
CPSF7	NUDT21	5
CPSF7	PAPOLA	5
CPSF7	CSTF1	5
CPSF7	SRSF2	5
CPSF7	RBM10	5
CPSF7	SRRM1	5
CPSF7	PABPN1	5
CPSF7	SRSF9	5
CPSF7	HNRNPH1	5
CPSF7	MAGOH	5
CPSF7	SNRNP70	5
CRYL1	ECHDC2	1
CRYL1	GCDH	1
CRYL1	SUOX	1
CRYL1	GLDC	1
CRYL1	CRYM	1
CSE1L	TNPO2	6
CSE1L	TPR	6
CSE1L	NUP93	6
CSE1L	NUP50	6
CSE1L	RANBP2	6
CSE1L	XPOT	6
CSE1L	TNPO1	6
CSE1L	NUP88	6
CSE1L	NUP107	6
CSE1L	IPO4	6
CSE1L	NUP153	6
CSE1L	RANGAP1	6
CSE1L	TNPO3	6
CSE1L	NUP160	6
CSE1L	RANBP6	6
CSE1L	IPO7	6
CSE1L	NUP43	6
CSE1L	NUP205	6
CSE1L	NUP133	6
CTBS	KIF21A	13
CUL4B	SKP1	4
CUL4B	POLR2A	4
CUL4B	POLR2H	4
CUL4B	POLR2C	4
CUL4B	DCAF11	4
CUL4B	UBE2M	4
CUL4B	TCEA1	4
CUL4B	VPRBP	4
CUL4B	USP7	4
CUL4B	POLR2B	4
CUL4B	TCEB2	4
CUL4B	GPS1	4
CUL4B	THOC6	4
CUL4B	MCTS1	4
CUL4B	UBA3	4
CUL4B	NAE1	4
CYP1A2	GSTA1	2
CYP1A2	CYP4A11	2
CYP1A2	SULT1E1	2
CYP1A2	UGT2B15	2
CYP1A2	GSTA2	2
CYP1A2	UGT2B17	2
CYP1A2	CYP4A22	2
CYP1A2	MGST1	2
CYP1A2	CYP3A7	2
CYP1A2	SULT1A1	2
CYP1A2	FMO3	2
CYP1A2	SULT1A2	2
CYP1A2	SULT1B1	2
CYP1A2	UGT1A4	2
CYP1A2	CYP4F2	2
CYP1A2	UGT2B4	2
CYP2A6	UGT1A4	2
CYP2A6	FMO3	2
CYP2A6	CYP4F11	2
CYP2A6	GSTA1	2
CYP2A6	UGT2B15	2
CYP2A6	UGT2B17	2
CYP2A6	MGST1	2
CYP2A6	UGT2B4	2
CYP2A6	GSTA2	2
CYP2A6	CYP4A22	2
CYP2A6	CYP4F2	2
CYP2A6	SULT1A2	2
CYP2A6	SULT1A1	2
CYP2A6	CYP4A11	2
CYP2A6	CYP3A7	2
CYP2B6	CYP4F11	2
CYP2B6	FMO3	2
CYP2B6	UGT2B15	2
CYP2B6	SULT1E1	2
CYP2B6	CYP4F2	2
CYP2B6	PTGS1	2
CYP2B6	UGT1A4	2
CYP2B6	UGT2B17	2
CYP2B6	CYP4A22	2
CYP2B6	CYP4A11	2
CYP2B6	UGT2B4	2
CYP2B6	SULT1A1	2
CYP2B6	GSTA2	2
CYP2B6	CYP3A7	2
CYP2B6	GSTA1	2
CYP2B6	MGST1	2
CYP2C8	PTGS1	2
CYP2C8	GSTA1	2
CYP2C8	CYP3A7	2
CYP2C8	UGT2B15	2
